Fecha presentacion
Base (150)
Tipo (151)
Cuota (152)
Base (01)
Tipo (02)
Cuota (03)
Base (153)
Tipo (154)
Cuota (155)
Base (04)
Tipo (05)
Cuota (06)
Base (07)
Tipo (08)
Cuota (09)
Base Adq.Intrac. (10)
Cuota Adq.Intrac. (11)
Base Otras Oper.Inv.Suj.Pas. (12)
Cuota Otras Oper.Inv.Suj.Pas. (13)
Modific.Base (14)
Modific.Cuota (15)
Base Rec.Equiv. (156)
Tipo Rec.Equiv. (157)
Cuota Rec.Equiv. (158)
Base Rec.Equiv. (16)
Tipo Rec.Equiv. (17)
Cuota Rec.Equiv. (18)
Base Rec.Equiv. (19)
Tipo Rec.Equiv. (20)
Cuota Rec.Equiv. (21)
Ejercicio
Periodo
Base Rec.Equiv. (22)
Tipo Rec.Equiv. (23)
Cuota Rec.Equiv. (24)
Modific.Base Rec.Equ. (25)
Modific.Cuota Rec.Equ. (26)
Total cuota (27)
Base soport.op.int.ctes (28)
Cuota soport.op.int.ctes (29)
Base soport.op.int.inv. (30)
Cuota soport.op.int.inv. (31)
Base soport.import..ctes (32)
Cuota soport.import..ctes (33)
Base soport.import..inver. (34)
Cuota soport.import..inver. (35)
Base soport.adq.intra.ctes. (36)
Cuota soport.adq.intra.ctes. (37)
Base soport.adq.intra.inv. (38)
Cuota soport.adq.intra.inv. (39)
Base soport.rectific.(40)
Cuota soport.rectific.(41)
Soportado Compens.R.E. (42)
Soportado Reg.Bienes Inv. (43)
Soportado Reg.%prorrata def.(44)
Total IVA Soportado (45)
Rdo Reg.Gral. (46)
Entregas intra (59)
Exportaciones (60)
Op.no sujetas (120)
Op.Sujetas inversion suj.pas. (122)
Op.no sujetas Reg.Esp. (123)
Op.sujetas Reg.Esp. (124)
Cuota entregas criterio caja (63)
Cuota adquisiciones criterio caja (75)
Regular. cuotas (76)
Suma rdos (64)
Atribuible Adm.Estado (66)
IVA importac.pte ingreso (77)
Cuotas compensar period.ant. (110)
Cuotas compensar period.ant.aplic.(78)
Cuotas compensar period.previos (87)
Resultado (69)
Resultado Adm.Estado y Foral (68)
A deducir autol.complem. (70)
Resultado liquidacion (71)
Base entregas criterio caja (62)
Base adquis. criterio caja (74)
